"year","na_number","na_value","na_name","winner","winner_party","runnerup","runnerup_party","victory_margin","turn_out","winner_party_cat","runnerup_party_cat"
2002,"NA-269","269","NA-269 Khuzdar","Mr.Abdur Rauf Mengal","Balochistan National Party","Mir Muhammad Ayub Jattak","Balochistan National Movement","4.9","23.34105701","Other","Other"
2002,"NA-36","36","?NA-36 Tribal Area-I","Maulana Ghulam Muhammad Sadiq","Independent","Mr.Azmat Khan","Independent","49.8","23.12062250","Independent","Independent"
2002,"NA-37","37","?NA-37 Tribal Area-II","Dr. Sayed Javaid Hussain Mian","Independent","Sayed Muhammad Jawad (Jawad Agha)","Independent","29.6","30.33509191","Independent","Independent"
2002,"NA-38","38","?NA-38 Tribal Area-III","Mr.Munir Khan Orakzai","Independent","Dr. Gul Manan","Independent","19.5","17.12328767","Independent","Independent"
2002,"NA-39","39","?NA-39 Tribal Area-IV","Dr. Sayed Ghazi Gulab Jamal","Independent","Mian Hussain Jalali","Independent","11.2","29.20610531","Independent","Independent"
2002,"NA-40","40","?NA-40 Tribal Area-V","Molvi Nek Zaman","Independent","Malik Mohammad Ajmal Khan","Independent","32.2","29.95292800","Independent","Independent"
2002,"NA-42","42","?NA-42 Tribal Area-VII","Mr.Muhammad Miraj-ud-Din","Independent","General Alam Jan Masood","Independent","23.5","25.46803625","Independent","Independent"
2002,"NA-43","43","?NA-43 Tribal Area-VIII","Maulvi Muhammad Sadiq","Independent","Mr.Shaukatullah Khan","Independent","22.7","23.98216210","Independent","Independent"
2002,"NA-44","44","?NA-44 Tribal Area-IX","Mr.Haroon Rashid","Independent","Mr.Shahabud-Din Khan","Independent","17.0","21.95852220","Independent","Independent"
2002,"NA-45","45","?NA-45 Tribal Area-X","Mr.Noor-ul-Haq Qadri","Independent","Mr.Ajab Khan Afridi","Independent","24.9","21.94152866","Independent","Independent"
2002,"NA-46","46","?NA-46 Tribal Area-XI","Maulana Khalilur Rehman Afridi","Independent","Mr.Mohammad Saeed","Independent","12.2","20.91343165","Independent","Independent"
2002,"NA-47","47","?NA-47 Tribal Area-XII","Dr.Naseem Afridi","Independent","Mr.Ashfaq Khan Bhatanni","Independent","0.2","28.96836223","Independent","Independent"
2002,"NA-53","53","?NA-53 Rawalpindi-IV","Mr.Ghulam Sarwar Khan","Independent","Chaudhry Nisar Ali Khan","Pakistan Muslim League (N)","6.6","50.98491163","Independent","Pakistan Muslim League (N)"
2002,"NA-55","55","?NA-55 Rawalpindi-VI","Sheikh Rasheed Ahmad","Independent","Agha Riaz-ul-Islam","Pakistan Peoples Party Parliamentarians","11.9","38.76670471","Independent","Pakistan Peoples Party Parliamentarians"
2002,"NA-56","56","?NA-56 Rawalpindi-VII","Sheikh Rasheed Ahmad","Independent","Sardar Shoukat Hayat","Pakistan Peoples Party Parliamentarians","13.1","36.34388391","Independent","Pakistan Peoples Party Parliamentarians"
2002,"NA-61","61","?NA-61 Chakwal-II","Mr.Muhammad Faiz Malik","Independent","Sardar Mansoor Hayat Taman","Pakistan Muslim League (Q)","12.9","55.25567984","Independent","Pakistan Muslim League (Q)"
2002,"NA-70","70","?NA-70 khushab-II","Malik Muhammad Saifullah Tiwana","Independent","Malik Muhammad Shabbir Awan","Pakistan Muslim League (Q)","5.4","56.48256800","Independent","Pakistan Muslim League (Q)"
2002,"NA-89","89","?NA-89 Jhang-IV","Maulana Muhammad Azam Tariq","Independent","Dr. Muhammad Tahir-ul-Qadri","Pakistan Awami Tehreek","6.2","47.62862821","Independent","Other"
2002,"NA-90","90","?NA-90 Jhang-V","Ms.Saima Akhtar Bharwana","Independent","Mr.Sahibzada Muhammad Nazir Sultan","National Alliance","0.4","51.62913127","Independent","National Alliance"
2002,"NA-93","93","?NA-93 T.T Singh-II","Mr.Muhammad Farhan Latif","Independent","Hafiz Ullah Ishaq","Pakistan Peoples Party Parliamentarians","19.3","51.96562301","Independent","Pakistan Peoples Party Parliamentarians"
2002,"NA-94","94","?NA-94 T.T Singh-III","Mr.Riaz Fatiana","Independent","Mr.Khalid Ahmed Khan Kharal","Pakistan Peoples Party Parliamentarians","8.3","50.84588624","Independent","Pakistan Peoples Party Parliamentarians"
2002,"NA-118","118","NA-118 Lahore-I","Hafiz Salman Butt","Independent","Mian Muhammad Azhar","Pakistan Muslim League (Q)","5.4","29.21787228","Independent","Pakistan Muslim League (Q)"
2002,"NA-146","146","NA-146 Okara-IV","Rao Muhammad Ajmal Khan","Independent","Rao Muhammad Safdar Khan","Pakistan Muslim League (Q)","12.2","46.57902455","Independent","Pakistan Muslim League (Q)"
2002,"NA-157","157","NA-157 Khanewal-II","Mr.Hamid Yar Hiraj","Independent","Mr.Razwan Ahmed khan Daha","Pakistan Muslim League (N)","15.7","46.90312648","Independent","Pakistan Muslim League (N)"
2002,"NA-175","175","NA-175 Rajanpur-II","Sardar Nasrullah Khan Dreshak","Independent","Sardar Khalid Bashir Mazari","Independent","25.8","41.08397893","Independent","Independent"
2002,"NA-192","192","NA-192 Rahimyar Khan-I","Makhdoom Syed Ahmad Alam Anwar","Independent","Haji Muhammad Saifullah Khan","Pakistan Peoples Party Parliamentarians","29.7","39.78759138","Independent","Pakistan Peoples Party Parliamentarians"
2002,"NA-201","201","NA-201 Ghotki-II","Mr.Ali Muhammad Khan","Independent","Mr.Ghulam Rasool Kalhoro","Muttahidda Majlis-e-Amal Pakistan","54.9","38.20184180","Independent","Muttahidda Majlis-e-Amal Pakistan"
2002,"NA-272","272","NA-272 Kech-Cum-Gwadar","Mrs. Zubada Jalal","Independent","Dr. Abdul Malik","Balochistan National Movement","8.7","32.66855488","Independent","Other"
2002,"NA-41","41","?NA-41 Tribal Area-VI","Mr.Abdul Malik","Indepndent","Mr.Muhammad Saleh Shah","Indepndent","4.1","31.21550151","Other","Other"
2002,"NA-265","265","NA-265 Sibi-Cum-Kolhu-Cum Dera Bugti","Mr.Haider Bugti","Jamhoori Wattan Party","Mr.Mehrab Khan Balocah","Balochistan National Movement","54.9","46.68225873","Other","Other"
2002,"NA-255","255","NA-255 Karachi-XVII","Mr.Mahmood Ahmed Qureshi","Mohajar Qaumi Movement Pakistan","Mr.Muhammad Aslam Mujahid","Muttahidda Majlis-e-Amal Pakistan","3.3","41.17701974","Other","Muttahidda Majlis-e-Amal Pakistan"
2002,"NA-1","1","?NA-1 PESHAWAR-I","Mr.Shabir Ahmad","Muttahidda Majlis-e-Amal Pakistan","Mr.Usman Bashir Bilour","Awami National Party","21.1","28.72680168","Muttahidda Majlis-e-Amal Pakistan","Awami National Party"
2002,"NA-2","2","?NA-2 PESHAWAR -II","Maulana Rehmat Ullah","Muttahidda Majlis-e-Amal Pakistan","Dr. Arbab Alamgir Khan","Pakistan Peoples Party Parliamentarians","38.3","26.48681592","Muttahidda Majlis-e-Amal Pakistan","Pakistan Peoples Party Parliamentarians"
2002,"NA-3","3","?NA-3 PESHAWAR -III","Qari Fayazur Rehman Alvi","Muttahidda Majlis-e-Amal Pakistan","Mr.Kiramatullah Khan","Pakistan Peoples Party Parliamentarians","27.3","30.62850477","Muttahidda Majlis-e-Amal Pakistan","Pakistan Peoples Party Parliamentarians"
2002,"NA-4","4","?NA-4 PESHAWAR -IV","Mr.Sabir Hussain Awan","Muttahidda Majlis-e-Amal Pakistan","Mr.Arbab Muhammad Zahir Khan","Awami National Party","18.3","29.61318361","Muttahidda Majlis-e-Amal Pakistan","Awami National Party"
2002,"NA-5","5","?NA-5 NOWSHERA -I","Qazi Hussain Ahmad","Muttahidda Majlis-e-Amal Pakistan","Mr.Naseer Ullah Khan Babar","Pakistan Peoples Party Parliamentarians","24.2","37.40952436","Muttahidda Majlis-e-Amal Pakistan","Pakistan Peoples Party Parliamentarians"
2002,"NA-6","6","?NA-6 Nowshera-II","Maulana Hamid-ul-Haq Haqani","Muttahidda Majlis-e-Amal Pakistan","Mr.Naseer Ullah Khan Babar","Pakistan Peoples Party Parliamentarians","24.2","35.11687672","Muttahidda Majlis-e-Amal Pakistan","Pakistan Peoples Party Parliamentarians"
2002,"NA-7","7","?NA-7 Charsadda-I","Maulana Muhammad Gohar Shah","Muttahidda Majlis-e-Amal Pakistan","Mr.Asfandyar Wali Khan","Awami National Party","27.5","36.92106872","Muttahidda Majlis-e-Amal Pakistan","Awami National Party"
2002,"NA-9","9","?NA-9 Mardan-I","Mr.Shujaul Mulk","Muttahidda Majlis-e-Amal Pakistan","Mr.Abbas Sarfaraz Khan","Independent","49.3","35.90471840","Muttahidda Majlis-e-Amal Pakistan","Independent"
2002,"NA-10","10","?NA-10 Mardan-II","Maulana Muhammad Qasim","Muttahidda Majlis-e-Amal Pakistan","Mr.Rahim Dad Khan","Pakistan Peoples Party Parliamentarians","61.7","39.94513375","Muttahidda Majlis-e-Amal Pakistan","Pakistan Peoples Party Parliamentarians"
2002,"NA-11","11","?NA-11 Mardan-III","Maulana Attaur-Rehman","Muttahidda Majlis-e-Amal Pakistan","Mr.Habib Ullah Khan","Awami National Party","50.6","33.13839284","Muttahidda Majlis-e-Amal Pakistan","Awami National Party"
2002,"NA-12","12","?NA-12 Sawabi-I","Mr.Muhammad Usman","Muttahidda Majlis-e-Amal Pakistan","Mr.Shehryar Khan","Awami National Party","24.5","37.60062640","Muttahidda Majlis-e-Amal Pakistan","Awami National Party"
2002,"NA-13","13","?NA-13 Sawabi-II","Maulana Khalil Ahmed","Muttahidda Majlis-e-Amal Pakistan","Mr.Muhammad Sadiq Khan","Awami National Party","33.5","38.43244379","Muttahidda Majlis-e-Amal Pakistan","Awami National Party"
2002,"NA-14","14","?NA-14 Kohat","Mufti Ibrar Sultan","Muttahidda Majlis-e-Amal Pakistan","Syed Iftikhar Hussain Gillani","Pakistan Muslim League (Q)","32.0","31.40291786","Muttahidda Majlis-e-Amal Pakistan","Pakistan Muslim League (Q)"
2002,"NA-15","15","?NA-15 Karak","Mr.Shah Abdul Aziz","Muttahidda Majlis-e-Amal Pakistan","Mr.Masood Sharif Khattak","Pakistan Peoples Party Parliamentarians","14.0","38.73594478","Muttahidda Majlis-e-Amal Pakistan","Pakistan Peoples Party Parliamentarians"
2002,"NA-16","16","?NA-16 Hangu","Mr.Akhunzada Muhammad Sadiq","Muttahidda Majlis-e-Amal Pakistan","Mr.Hassan Ahmed Khan","Awami National Party","43.3","28.71403369","Muttahidda Majlis-e-Amal Pakistan","Awami National Party"
2002,"NA-21","21","?NA-21 Mansehra-II","Maulana Abdul Malik","Muttahidda Majlis-e-Amal Pakistan","Mr.Faiz Muhammad Khan","Independent","19.4","34.03563604","Muttahidda Majlis-e-Amal Pakistan","Independent"
2002,"NA-22","22","?NA-22 Batagram","Qari Muhammad Yousaf","Muttahidda Majlis-e-Amal Pakistan","Mr.Mohammad Nawaz Khan","Pakistan Muslim League (Q)","28.0","33.77059968","Muttahidda Majlis-e-Amal Pakistan","Pakistan Muslim League (Q)"
2002,"NA-23","23","?NA-23 Kohistan","Molvi Abdul Haleem","Muttahidda Majlis-e-Amal Pakistan","Mr.Mehboobullah Jan","Pakistan Muslim League (Q)","12.2","16.14396132","Muttahidda Majlis-e-Amal Pakistan","Pakistan Muslim League (Q)"
2002,"NA-24","24","?NA-24 D.I. Khan","Maulana Fazal-ur-Rehman","Muttahidda Majlis-e-Amal Pakistan","Mr.Faisal Karim Kundi","Pakistan Peoples Party Parliamentarians","5.5","42.26074994","Muttahidda Majlis-e-Amal Pakistan","Pakistan Peoples Party Parliamentarians"
2002,"NA-25","25","?NA-25 D.I. Khan cum-Tank","Maulana Fazal-ur-Rehman","Muttahidda Majlis-e-Amal Pakistan","Mr.Dawar Khan Kundi","Pakistan Peoples Party Parliamentarians","22.4","44.69015787","Muttahidda Majlis-e-Amal Pakistan","Pakistan Peoples Party Parliamentarians"
2002,"NA-26","26","?NA-26 Bannu","Maulana Nasib Ali Shah","Muttahidda Majlis-e-Amal Pakistan","Mr.Muhammad Mustafa Khan","Independent","41.0","38.52869884","Muttahidda Majlis-e-Amal Pakistan","Independent"
2002,"NA-27","27","?NA-27 Lakki Marwat","Maulana Amanullah Khan","Muttahidda Majlis-e-Amal Pakistan","Mr.Anwar Saifullah Khan","Pakistan Muslim League (Q)","22.7","46.53800417","Muttahidda Majlis-e-Amal Pakistan","Pakistan Muslim League (Q)"
2002,"NA-29","29","?NA-29 Sawat-I","Qari Abdul Baees Saddiqui","Muttahidda Majlis-e-Amal Pakistan","Mr.Adnan Aurang Zeb","Pakistan Muslim League (Q)","47.3","31.93777204","Muttahidda Majlis-e-Amal Pakistan","Pakistan Muslim League (Q)"
2002,"NA-30","30","?NA-30 Sawat-II","Mr.Fazal-e-Subhan","Muttahidda Majlis-e-Amal Pakistan","Mr.Shujaat Ali Khan","Pakistan Muslim League (Q)","50.2","32.41170209","Muttahidda Majlis-e-Amal Pakistan","Pakistan Muslim League (Q)"
2002,"NA-31","31","?NA-31 Shangla","Mr.Amir Muqam","Muttahidda Majlis-e-Amal Pakistan","Dr. Safeer Khan","Awami National Party","11.8","27.40434746","Muttahidda Majlis-e-Amal Pakistan","Awami National Party"
2002,"NA-32","32","?NA-32 Chitral","Mr.Abdul Akbar Khan","Muttahidda Majlis-e-Amal Pakistan","Mr.Iftikharuddin","Pakistan Muslim League (Q)","14.6","49.12842051","Muttahidda Majlis-e-Amal Pakistan","Pakistan Muslim League (Q)"
2002,"NA-33","33","?NA-33 Upper Dir (Recheck)","Molana Asad Ullah","Muttahidda Majlis-e-Amal Pakistan","Mr.Muhammad Anwar Khan Advocate","Pakistan Peoples Party Parliamentarians","20.3","32.26428002","Muttahidda Majlis-e-Amal Pakistan","Pakistan Peoples Party Parliamentarians"
2002,"NA-34","34","?NA-34 Lower Dir","Qazi Hussain Ahmad","Muttahidda Majlis-e-Amal Pakistan","Mr.Muhammad Ayub Khan","Awami National Party","21.3","28.28436545","Muttahidda Majlis-e-Amal Pakistan","Awami National Party"
2002,"NA-35","35","?NA-35 Malakand Protected Area","Maulana Muhammad Inayat-ur-Rehman","Muttahidda Majlis-e-Amal Pakistan","Mr.Lal Muhammad Khan","Pakistan Peoples Party Parliamentarians","28.2","34.62100961","Muttahidda Majlis-e-Amal Pakistan","Pakistan Peoples Party Parliamentarians"
2002,"NA-48","48","?NA-48 Islamabad-I","Mian Muhammad Aslam","Muttahidda Majlis-e-Amal Pakistan","Dr. Babar Awan","Pakistan Peoples Party Parliamentarians","13.1","47.07297814","Muttahidda Majlis-e-Amal Pakistan","Pakistan Peoples Party Parliamentarians"
2002,"NA-96","96","?NA-96 Gujranwala-II","Qazi Hameed Ullah Khan","Muttahidda Majlis-e-Amal Pakistan","Kh. Muhammad Saleh","Pakistan Peoples Party Parliamentarians","16.1","36.93307233","Muttahidda Majlis-e-Amal Pakistan","Pakistan Peoples Party Parliamentarians"
2002,"NA-121","121","NA-121 Lahore-IV","Mr.Farid Ahmed Paracha","Muttahidda Majlis-e-Amal Pakistan","Mian Muhammad Jehangir","Pakistan Muslim League (Q)","15.1","31.92377389","Muttahidda Majlis-e-Amal Pakistan","Pakistan Muslim League (Q)"
