year,na_number,na_value,na_name,winner,winner_party,runnerup,runnerup_party,victory_margin,turn_out,winner_party_cat,runnerup_party_cat,streak3_flag,streak2_flag
2013,NA-1,1,NA-1 (PESHAWAR-I),Alhaj Ghulam Ahmad Bilour,Awami National Party,Gul Badshah,Pakistan Tehreek-e-Insaf,7.549537375,22.96,Other,Pakistan Tehreek-e-Insaf,0,1
2013,NA-2,2,NA-2 (PESHAWAR-II),Hamid Ul Haq,Pakistan Tehreek-e-Insaf,Muhammad Saeed Jan,Jamiat Ulama-e-Islam (F),43.2149431,43.45,Pakistan Tehreek-e-Insaf,Jamiat Ulama-e-Islam (F),0,0
2013,NA-3,3,NA-3 (PESHAWAR-III),Sajid Nawaz,Pakistan Tehreek-e-Insaf,Haji Ghulam Ali,Jamiat Ulama-e-Islam (F),22.3365228,46.3,Pakistan Tehreek-e-Insaf,Jamiat Ulama-e-Islam (F),0,0
2013,NA-4,4,NA-4 (PESHAWAR-IV),GULZAR KHAN,Pakistan Tehreek-e-Insaf,NASIR KHAN MOSAZAI,Pakistan Muslim League (N),25.07854651,40.34,Pakistan Tehreek-e-Insaf,Pakistan Muslim League (N),0,0
2013,NA-5,5,NA-5 (NOWSHERA-I),Imran Khattak,Pakistan Tehreek-e-Insaf,Muhammad Daud Khan Khattak,Awami National Party,25.92859947,0.24623996,Pakistan Tehreek-e-Insaf,Other,0,0
2013,NA-6,6,NA-6 (NOWSHERA-II),Siraj Muhammad Khan,Pakistan Tehreek-e-Insaf,Syed Zulfiqar Ali Shah,Pakistan Muslim League (N),14.52092503,47.08,Pakistan Tehreek-e-Insaf,Pakistan Muslim League (N),0,0
2013,NA-7,7,NA-7 (CHARSADDA-I),Maulana Muhammad Gohar Shah,Jamiat Ulama-e-Islam (F),Fazal Muhammad Khan,Pakistan Tehreek-e-Insaf,7.914385266,46.22,Jamiat Ulama-e-Islam (F),Pakistan Tehreek-e-Insaf,0,0
2013,NA-8,8,NA-8 (CHARSADDA-II),Aftab Ahmad Khan Sherpao,Qaumi Watan Party (Sherpao),Musammir Shah,Jamiat Ulama-e-Islam (F),2.309325847,43.63,Other,Jamiat Ulama-e-Islam (F),0,0
2013,NA-9,9,NA-9 (MARDAN-I),Amir Haider Khan,Awami National Party,Nasir Khan,Pakistan Tehreek-e-Insaf,1.824026364,45.12,Other,Pakistan Tehreek-e-Insaf,0,1
2013,NA-10,10,NA-10 (MARDAN-II),Ali Muhammad Khan,Pakistan Tehreek-e-Insaf,Mualana Muhammad Qasim,Jamiat Ulama-e-Islam (F),4.639870171,51,Pakistan Tehreek-e-Insaf,Jamiat Ulama-e-Islam (F),0,0
2013,NA-11,11,NA-11 (MARDAN-III),Mujahid Ali,Pakistan Tehreek-e-Insaf,Khanzada Khan,Pakistan Peoples Party Parliamentarians,8.548721284,42,Pakistan Tehreek-e-Insaf,Pakistan Peoples Party Parliamentarians,0,0
2013,NA-12,12,NA-12 (SWABI-I),Engineer Usman Khan Tarrakai,Awami Jamhuri Ittehad Pakistan,Haji Rehmanullah,Awami National Party,12.73788798,44.12,Other,Other,0,0
2013,NA-13,13,NA-13 (SWABI-II),Aqibullah,Pakistan Tehreek-e-Insaf,Attaul Haq,Jamiat Ulama-e-Islam (F),13.90877918,22.12,Pakistan Tehreek-e-Insaf,Jamiat Ulama-e-Islam (F),0,0
2013,NA-14,14,NA-14 (KOHAT),Shehryar Afridi,Pakistan Tehreek-e-Insaf,Gohar Mohammad Khan Bangesh,Jamiat Ulama-e-Islam (F),21.31449631,42.68,Pakistan Tehreek-e-Insaf,Jamiat Ulama-e-Islam (F),0,0
2013,NA-15,15,NA-15 (KARAK),Nasir Khan Khattak,Pakistan Tehreek-e-Insaf,Rehmat Salam Khattak,Pakistan Muslim League (N),13.68036218,51.64,Pakistan Tehreek-e-Insaf,Pakistan Muslim League (N),0,0
2013,NA-16,16,NA-16 (HANGU),Khial Zaman Aurak Zai,Pakistan Tehreek-e-Insaf,Maulana Mian Hussain Jalali,Jamiat Ulama-e-Islam (F),4.61540885,30.81,Pakistan Tehreek-e-Insaf,Jamiat Ulama-e-Islam (F),0,0
2013,NA-17,17,NA-17 (ABBOTTABAD-I),Dr Muhammad Azhar Khan Jadoon,Pakistan Tehreek-e-Insaf,Sardar Mehtab Ahmed Khan,Pakistan Muslim League (N),14.33663409,56.48,Pakistan Tehreek-e-Insaf,Pakistan Muslim League (N),0,0
2013,NA-18,18,NA-18 (ABBOTTABAD-II),Murtaza Javed Abbasi,Pakistan Muslim League (N),Sardar Muhammad Yaqoob,Pakistan Tehreek-e-Insaf,15.76590556,55.57,Pakistan Muslim League (N),Pakistan Tehreek-e-Insaf,0,1
2013,NA-19,19,NA-19 (HARIPUR),Omar Ayub Khan,Pakistan Muslim League (N),Raja Aamer Zaman,Pakistan Tehreek-e-Insaf,0.189544397,55.55,Pakistan Muslim League (N),Pakistan Tehreek-e-Insaf,0,1
2013,NA-20,20,NA-20 (MANSEHRA-I),Sardar Muhammad Yousaf,Pakistan Muslim League (N),Muhammad Azam Khan Swati,Pakistan Tehreek-e-Insaf,14.33483084,54.6,Pakistan Muslim League (N),Pakistan Tehreek-e-Insaf,0,0
2013,NA-21,21,NA-21 (Tor Ghar cum Mansehra-II),Capt R Muhammad Safdar,Pakistan Muslim League (N),Liaq Muhammad Khan,Jamiat Ulama-e-Islam (F),27.81093395,45.13,Pakistan Muslim League (N),Jamiat Ulama-e-Islam (F),0,0
2013,NA-22,22,NA-22 (BATTAGRAM),Qari Mohammad Yousif,Jamiat Ulama-e-Islam (F),Mohammad Nawaz Khan,Independent,7.835399419,35.78,Jamiat Ulama-e-Islam (F),Independent,0,0
2013,NA-23,23,NA-23 (KOHISTAN),Sarzameen,Independent,Mehboobullah Jan Baqi,Jamiat Ulama-e-Islam (F),10.30160283,40.24,Independent,Jamiat Ulama-e-Islam (F),0,1
2013,NA-24,24,NA-24 (DERA ISMAIL KHAN),Molana Fazal Ur Rehman,Jamiat Ulama-e-Islam (F),Waqar Ahmad Khan,Pakistan Peoples Party Parliamentarians,11.78232412,56.14,Jamiat Ulama-e-Islam (F),Pakistan Peoples Party Parliamentarians,0,0
2013,NA-25,25,NA-25 (D.I.KHAN-CUM-TANK),Engineer Dawar Khan Kundi,Pakistan Tehreek-e-Insaf,Asad Mehmood,Jamiat Ulama-e-Islam (F),5.346086957,0.39191042,Pakistan Tehreek-e-Insaf,Jamiat Ulama-e-Islam (F),0,0
2013,NA-26,26,NA-26 (BANNU),Akram Khan Durrani,Jamiat Ulama-e-Islam (F),Maulana Nasim Ali Shah,Independent,19.20535964,39,Jamiat Ulama-e-Islam (F),Independent,0,0
2013,NA-27,27,NA-27 (LAKKI MARWAT),Amirullah,Pakistan Tehreek-e-Insaf,Atta Ur Rehman,Jamiat Ulama-e-Islam (F),5.676379619,0.37126686,Pakistan Tehreek-e-Insaf,Jamiat Ulama-e-Islam (F),0,0
2013,NA-28,28,NA-28 (BUNER),Sher Akbar Khan,Jamaat-e-Islami Pakistan,Mian Moin Uddin,Pakistan Tehreek-e-Insaf,4.818819331,35.07,Other,Pakistan Tehreek-e-Insaf,0,0
2013,NA-29,29,NA-29 (SWAT-I),MURAD SAEED,Pakistan Tehreek-e-Insaf,SYED MUHAMMAD ALI SHAH BACHA LALA,Pakistan Muslim League (N),36.11157911,35.37,Pakistan Tehreek-e-Insaf,Pakistan Muslim League (N),0,0
2013,NA-30,30,NA-30 (SWAT-II),Salim Rehman,Pakistan Tehreek-e-Insaf,Amir Muqam,Pakistan Muslim League (N),10.72063354,35.88,Pakistan Tehreek-e-Insaf,Pakistan Muslim League (N),0,0
2013,NA-31,31,NA-31 (SHANGLA),IBADULLAH,Pakistan Muslim League (N),SADID UR RAHMAN,Awami National Party,10.27312677,31.67,Pakistan Muslim League (N),Other,0,0
2013,NA-32,32,NA-32 (CHITRAL),Iftikhar ud Din,All Pakistan Muslim League,Abdul Latif,Pakistan Tehreek-e-Insaf,4.473932739,63.66,Other,Pakistan Tehreek-e-Insaf,0,0
2013,NA-33,33,NA-33 (UPPER DIR-CUM-LOWER DIN (OLD UPPER DIR)),Sahibzada Tariq Ullah,Jamaat-e-Islami Pakistan,Najam ud Din Khan,Pakistan Peoples Party Parliamentarians,13.85106962,32.14,Other,Pakistan Peoples Party Parliamentarians,0,0
2013,NA-34,34,NA-34 (LOWER DIR),Shahib Zada Muhammad Yaqub,Jamaat-e-Islami Pakistan,Muhammad Bashir Khan,Pakistan Tehreek-e-Insaf,3.003058229,30.15,Other,Pakistan Tehreek-e-Insaf,0,0
2013,NA-35,35,NA-35 (MALAKAND P AREA),Junaid Akbar,Pakistan Tehreek-e-Insaf,Hafiz Muhammad Saeed,Jamiat Ulama-e-Islam (F),20.91125541,45.95,Pakistan Tehreek-e-Insaf,Jamiat Ulama-e-Islam (F),0,0
2013,NA-36,36,NA-36 (TRIBAL AREA-I),Bilal Rehman,Independent,Muhammad Saeed khan,Jamaat-e-Islami Pakistan,6.324386518,29.92,Independent,Other,1,0
2013,NA-37,37,NA-37 (TRIBAL AREA-II),Mr. Sajid Hussain Turi,Independent,Sayed Qaisar Hussain,Independent,0.958857459,58.09,Independent,Independent,1,0
2013,NA-38,38,NA-38 Tribal Area-III,,,,,,,,,0,0
2013,NA-39,39,NA-39 (TRIBAL AREA-IV),Syed Ghazi Gulab Jamal,Independent,Jawad Hussain,Pakistan Peoples Party Parliamentarians,0.411747406,38.05,Independent,Pakistan Peoples Party Parliamentarians,1,0
2013,NA-40,40,NA-40 (TRIBAL AREA-V),Muhammad Nazir Khan,Independent,Aurangzeb Khan,Independent,4.228858947,48.52,Independent,Independent,1,0
2013,NA-41,41,NA-41 (TRIBAL AREA-VI),Ghalib Khan,Pakistan Muslim League (N),Muhammad Ali,Independent,1.01705774,0.412,Pakistan Muslim League (N),Independent,0,0
2013,NA-42,42,NA-42 (TRIBAL AREA-VII),Muhammad Jamal ud Din,Jamiat Ulama-e-Islam (F),Qayyum Sher Mahsud,Independent,3.268558419,11.57,Jamiat Ulama-e-Islam (F),Independent,0,0
2013,NA-43,43,NA-43 (TRIBAL AREA-VIII),Bismillah Khan,Independent,Sahib Zada Haroon Ur Raheed,Jamaat-e-Islami Pakistan,9.153328803,26.14,Independent,Other,1,0
2013,NA-44,44,NA-44 (TRIBAL AREA-IX),Shahab Ud Din Khan,Pakistan Muslim League (N),Sardar Khan,Jamaat-e-Islami Pakistan,5.371123799,3243,Pakistan Muslim League (N),Other,0,0
2013,NA-45,45,NA-45 (TRIBAL AREA-X),Alhaj Shah Jee Gul Afridi,Independent,Pir Noor ul Haq Qadri,Independent,13.81914291,39.92,Independent,Independent,1,0
2013,NA-46,46,NA-46 (TRIBAL AREA-XI),Nasir Khan,Independent,Muhammad Iqbal Khan,Pakistan Tehreek-e-Insaf,3.290719697,0,Independent,Pakistan Tehreek-e-Insaf,1,0
2013,NA-47,47,NA-47 (TRIBAL AREA-XII),Qaisar Jamal,Pakistan Tehreek-e-Insaf,Mufti Abdul Shakoor,Jamiat Ulama-e-Islam (F),2.278056951,39.76,Pakistan Tehreek-e-Insaf,Jamiat Ulama-e-Islam (F),0,0
2013,NA-48,48,NA-48 (ISLAMABAD-I),Asad Umar,Pakistan Tehreek-e-Insaf,Chaudhary Muhammad Ashraf Gujjar,Pakistan Muslim League (N),7.307239334,32.11,Pakistan Tehreek-e-Insaf,Pakistan Muslim League (N),0,0
2013,NA-49,49,NA-49 (ISLAMABAD-II),Dr. Tariq Fazal Chudhary,Pakistan Muslim League (N),Chudhary Ilyas Meharban,Pakistan Tehreek-e-Insaf,17.11214248,64.36,Pakistan Muslim League (N),Pakistan Tehreek-e-Insaf,0,1
2013,NA-50,50,NA-50 (RAWALPINDI-I),SHAHID KHAQAN ABBASI,Pakistan Muslim League (N),SADAQAT ALI ABBASI,Pakistan Tehreek-e-Insaf,35.55099995,57.1,Pakistan Muslim League (N),Pakistan Tehreek-e-Insaf,0,1
2013,NA-51,51,NA-51 (RAWALPINDI-II),RAJA MUHAMMAD JAVED IKHLAS,Pakistan Muslim League (N),RAJA PARVAIZ ASHRAF,Pakistan Peoples Party Parliamentarians,22.51144965,54.22,Pakistan Muslim League (N),Pakistan Peoples Party Parliamentarians,0,0
2013,NA-52,52,NA-52 (RAWALPINDI-III),CH NISAR ALI KHAN,Pakistan Muslim League (N),LT COL R AJMAL SABIR RAJA,Pakistan Tehreek-e-Insaf,24.82315062,57.04,Pakistan Muslim League (N),Pakistan Tehreek-e-Insaf,1,0
2013,NA-53,53,NA-53 (RAWALPINDI-IV),Ghulam Sarwar khan,Pakistan Tehreek-e-Insaf,Chaudhary Nisar Ali Khan,Pakistan Muslim League (N),3.451235393,61.9,Pakistan Tehreek-e-Insaf,Pakistan Muslim League (N),0,0
2013,NA-54,54,NA-54 (RAWALPINDI-V),MALIK IBRAR AHMED,Pakistan Muslim League (N),HINA MANZOOR,Pakistan Tehreek-e-Insaf,4.643581307,55.36,Pakistan Muslim League (N),Pakistan Tehreek-e-Insaf,0,1
2013,NA-55,55,NA-55 (RAWALPINDI-VI),SHEIKH RASHID AHMED,Awami Muslim League Pakistan,MALIK SHAKEEL AHMED AWAN,Pakistan Muslim League (N),7.517197402,55.47,Other,Pakistan Muslim League (N),0,0
2013,NA-56,56,NA-56 (RAWALPINDI-VII),Imran Khan,Pakistan Tehreek-e-Insaf,Muhammad Hanif Abbasi,Pakistan Muslim League (N),8.339785698,56.04,Pakistan Tehreek-e-Insaf,Pakistan Muslim League (N),0,0
2013,NA-57,57,NA-57 (ATTOCK-I),Sheikh Aftab Ahmed,Pakistan Muslim League (N),Malik Ameen Aslam Khan,Pakistan Tehreek-e-Insaf,2.165971061,52.61,Pakistan Muslim League (N),Pakistan Tehreek-e-Insaf,0,1
2013,NA-58,58,NA-58 (ATTOCK-II),Malik Ihtebar Khan,Pakistan Muslim League (N),Malik Sohail Khan,Pakistan Tehreek-e-Insaf,4.893438282,83.09,Pakistan Muslim League (N),Pakistan Tehreek-e-Insaf,0,0
2013,NA-59,59,NA-59 (ATTOCK-III),Muhammad Zain Ellahi,Independent,Asif Ali Malik,Pakistan Muslim League (N),0.242561449,64,Independent,Pakistan Muslim League (N),0,0
2013,NA-60,60,NA-60 (CHAKWAL-I),Major Rtd Tahir Iqbal,Pakistan Muslim League (N),SARDAR GHULAM ABBAS,Independent,10.10923529,63,Pakistan Muslim League (N),Independent,0,1
2013,NA-61,61,NA-61 (CHAKWAL-II),SARDAR MUMTAZ KHAN,Pakistan Muslim League (N),CH PARVEZ ELAHI,Pakistan Muslim League (Q),5.668993734,61,Pakistan Muslim League (N),Other,0,0
2013,NA-62,62,NA-62 (JHELUM-I),Chaudhry Khadim Hussain,Pakistan Muslim League (N),Choudhry Muhammad Saqlain,Pakistan Tehreek-e-Insaf,18.70780641,55.69,Pakistan Muslim League (N),Pakistan Tehreek-e-Insaf,0,1
2013,NA-63,63,NA-63 (JHELUM-II),MALIK IQBAL MEHDI KHAN,Pakistan Muslim League (N),MIRZA SAEED MEHMOOD BAIG,Pakistan Tehreek-e-Insaf,36.0708725,53.87,Pakistan Muslim League (N),Pakistan Tehreek-e-Insaf,1,0
2013,NA-64,64,NA-64 (SARGODHA-I),Pir Muhammad Amin ul Hasnat Shah,Pakistan Muslim League (N),Nadeem Afzal Gondal,Pakistan Peoples Party Parliamentarians,34.87987052,60.48,Pakistan Muslim League (N),Pakistan Peoples Party Parliamentarians,0,0
2013,NA-65,65,NA-65 (SARGODHA-II),MOHSIN SHAH NAWAZ RANJHA,Pakistan Muslim League (N),GHIAS AHMAD MELA,Pakistan Muslim League (Q),21.75453209,62.3,Pakistan Muslim League (N),Other,0,0
2013,NA-66,66,NA-66 (SARGODHA-III),Chudhary Hamid Hameed,Pakistan Muslim League (N),Barrister Abdullah Mumtaz Kahloon,Pakistan Tehreek-e-Insaf,45.78585113,56.83,Pakistan Muslim League (N),Pakistan Tehreek-e-Insaf,0,0
2013,NA-67,67,NA-67 (SARGODHA-IV),Dr. Zulfiqar Ali Bhatti,Pakistan Muslim League (N),Ch Anwar Ali Cheema,Pakistan Muslim League (Q),5.349092958,63.02,Pakistan Muslim League (N),Other,0,0
2013,NA-68,68,NA-68 (SARGODHA-V),Sardar Muhammad Shafqat Hayat Khan,Pakistan Muslim League (N),Javaid Hasnain Shah,Independent,16.32674037,43,Pakistan Muslim League (N),Independent,0,1
2013,NA-69,69,NA-69 (KHUSHAB-I),Muhammad Uzair Khan,Pakistan Muslim League (N),Umar Aslam Khan,Pakistan Tehreek-e-Insaf,9.95983033,49.9,Pakistan Muslim League (N),Pakistan Tehreek-e-Insaf,0,0
2013,NA-70,70,NA-70 (KHUSHAB-II),MALIK SHAKIR BASHIR AWAN,Pakistan Muslim League (N),SARDAR SHUJJA MUHAMMAD KHAN,Independent,14.24290947,62.64,Pakistan Muslim League (N),Independent,0,0
2013,NA-71,71,NA-71 (MIANWALI-I),Obaid ullah Shadi Khel,Pakistan Muslim League (N),Malik Waheed Khan,Pakistan Tehreek-e-Insaf,10.63246097,45.96,Pakistan Muslim League (N),Pakistan Tehreek-e-Insaf,0,0
2013,NA-72,72,NA-72 (MIANWALI-II),Amjid Ali Khan,Pakistan Tehreek-e-Insaf,Humair Hayat Khan Rokhari,Pakistan Muslim League (N),26.08129769,63.69,Pakistan Tehreek-e-Insaf,Pakistan Muslim League (N),0,0
2013,NA-73,73,NA-73 (BHAKKAR-I),ABDUL MAJEED KHAN,Pakistan Muslim League (N),MUHAMMAD SANA ULLAH KHAN MASTI KHAIL,Independent,3.053561874,68.31,Pakistan Muslim League (N),Independent,0,0
2013,NA-74,74,NA-74 (BHAKKAR-II),Dr Muhammad Afzal Khan Dhandla,Independent,Ahmad Nawaz Khan,Independent,9.424161168,68.16,Independent,Independent,0,1
2013,NA-75,75,NA-75 (FAISALABAD-I),Ghulam Rasool Sahi,Pakistan Muslim League (N),Fawad Ahmad Cheema,Pakistan Tehreek-e-Insaf,41.79595578,61.54,Pakistan Muslim League (N),Pakistan Tehreek-e-Insaf,0,0
2013,NA-76,76,NA-76 (FAISALABAD-II),Muhammad Tallal Choudhary,Pakistan Muslim League (N),Malik Nawab Sher Wasseer,Pakistan Peoples Party Parliamentarians,35.63558865,58.21,Pakistan Muslim League (N),Pakistan Peoples Party Parliamentarians,0,0
2013,NA-77,77,NA-77 (FAISALABAD-III),Muhammad Asim Nazeer,Pakistan Muslim League (N),Zaheer ud din,Pakistan Muslim League (Q),22.51117641,61.48,Pakistan Muslim League (N),Other,0,0
2013,NA-78,78,NA-78 (FAISALABAD-IV),RAJAB ALI KHAN BALOCH,Pakistan Muslim League (N),MUHAMMAD SAFDAR SHAKIR,Independent,23.93806639,62.57,Pakistan Muslim League (N),Independent,0,0
2013,NA-79,79,NA-79 (FAISALABAD-V),CHOUDHRY MUHAMMAD SHAHBAZ BABAR,Pakistan Muslim League (N),KHALID ABDULLAH GHAZI,Pakistan Tehreek-e-Insaf,52.33445341,56.85,Pakistan Muslim League (N),Pakistan Tehreek-e-Insaf,0,0
2013,NA-80,80,NA-80 (FAISALABAD-VI),Mian Muhammad Farooq,Pakistan Muslim League (N),Rana Asif Touseef,Pakistan Muslim League (Q),21.02008961,59.92,Pakistan Muslim League (N),Other,0,0
2013,NA-81,81,NA-81 (FAISALABAD-VII),NISAR AHMAD,Pakistan Muslim League (N),SAEED IQBAL,Pakistan Peoples Party Parliamentarians,39.63673507,61.74,Pakistan Muslim League (N),Pakistan Peoples Party Parliamentarians,0,0
2013,NA-82,82,NA-82 (FAISALABAD-VIII),Rana Muhammad Afzal Khan,Pakistan Muslim League (N),Nisar Akbar Khan,Pakistan Tehreek-e-Insaf,44.90537411,59.12,Pakistan Muslim League (N),Pakistan Tehreek-e-Insaf,1,0
2013,NA-83,83,NA-83 (FAISALABAD-IX),Mian Abdul Manan,Pakistan Muslim League (N),Faiz Ullah Kamoka,Pakistan Tehreek-e-Insaf,10.82970264,25.67,Pakistan Muslim League (N),Pakistan Tehreek-e-Insaf,0,0
2013,NA-84,84,NA-84 (FAISALABAD-X),ABID ALI,Pakistan Muslim League (N),FARRUKH HABIB,Pakistan Tehreek-e-Insaf,33.73178683,59.84,Pakistan Muslim League (N),Pakistan Tehreek-e-Insaf,1,0
2013,NA-85,85,NA-85 (FAISALABAD-XI),HAJI MUHAMMAD AKRAM ANSARI,Pakistan Muslim League (N),BRIGADIER MUMTAZ IQBAL KAHLON,Pakistan Tehreek-e-Insaf,35.06353041,60.35,Pakistan Muslim League (N),Pakistan Tehreek-e-Insaf,1,0
2013,NA-86,86,NA-86 (Chiniot-I (Old NA-86 Jhang-I)),Qaiser Ahmad Sheikh,Pakistan Muslim League (N),Zulfiqar Ali Shah,Pakistan Peoples Party Parliamentarians,17.54669631,63.58,Pakistan Muslim League (N),Pakistan Peoples Party Parliamentarians,0,0
2013,NA-87,87,NA-87 (Chiniot-II Cum-Jhang (Old NA-88 Jhang-III)),Ghulam Muhammad Lali,Pakistan Muslim League (N),Makhdoom Syed Faisal Saleh Hayat,Independent,6.333639306,58.61,Pakistan Muslim League (N),Independent,0,0
2013,NA-88,88,NA-88 (Jhang- Cum-Chiniot (Old NA-87 Jhang-II)),GHULAM BIBI BHARWANA,Pakistan Muslim League (N),MAKHDOOM ZADA SYED ASAD HAYAT,Independent,10.54833686,64.54,Pakistan Muslim League (N),Independent,0,0
2013,NA-89,89,NA-89 (Jhang-I (Old NA-89 Jhang-IV)),Molana Muhammad Ahmad Ludhianvi,MUTAHIDA DEENI MAHAZ,Sheikh Waqar Ahmad Advocate,Pakistan Tehreek-e-Insaf,37.94654354,59,Other,Pakistan Tehreek-e-Insaf,0,0
2013,NA-90,90,NA-90 (Jhang-II (Old NA-90 Jhang-V)),SAHIBZADA MOHAMMAD NAZIR,Independent,SAIMA AKHTAR BHARWANA,Pakistan Muslim League (N),6.869083882,66.67,Independent,Pakistan Muslim League (N),1,0
2013,NA-91,91,NA-91 (Jhang-III(Old NA-91 Jhang-VI)),Najaf Abbas Sial,Independent,Muhammad Mehboob Sultan,Pakistan Muslim League (N),2.323992918,67.82,Independent,Pakistan Muslim League (N),0,0
2013,NA-92,92,NA-92 (TOBA TEK SINGH-I),CHAUDHRY KHALID JAVED WARRAICH,Pakistan Muslim League (N),USAMA HAMZA,Independent,14.21254741,60.7,Pakistan Muslim League (N),Independent,0,0
2013,NA-93,93,NA-93 (TOBA TEK SINGH-II),MUHAMMAD JUNAID ANWAAR CHAUDHRY,Pakistan Muslim League (N),CHAUDHRY MUHAMMAD ASHFAQ,Pakistan Tehreek-e-Insaf,9.955515412,64.4,Pakistan Muslim League (N),Pakistan Tehreek-e-Insaf,0,0
2013,NA-94,94,NA-94 (TOBA TEK SINGH-III),Ch Asad Ur Rehman,Pakistan Muslim League (N),Riaz Fatyana,Independent,15.40451523,63.8,Pakistan Muslim League (N),Independent,0,0
2013,NA-95,95,NA-95 (GUJRANWALA-I),USMAN IBRAHIM,Pakistan Muslim League (N),ALI ASHRAF,Pakistan Tehreek-e-Insaf,48.51480978,53.06,Pakistan Muslim League (N),Pakistan Tehreek-e-Insaf,0,1
2013,NA-96,96,NA-96 (GUJRANWALA-II),ENGR KHURRAM DASTGIR KHAN,Pakistan Muslim League (N),S A HAMEED,Pakistan Tehreek-e-Insaf,49.47516852,52,Pakistan Muslim League (N),Pakistan Tehreek-e-Insaf,0,0
